Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),Hmdx,Wind Chill
2015-01-01 00:00,2015,1,1,00:00, ,2.9,-0.6,78,31,10,102.97,,
2015-01-01 01:00,2015,1,1,01:00, ,3.5,-0.1,77,33,11,102.93,,
2015-01-01 02:00,2015,1,1,02:00, ,2.3,-0.8,80,27,9,102.86,,
2015-01-01 03:00,2015,1,1,03:00, ,2.3,-0.4,83,30,8,102.87,,
2015-01-01 04:00,2015,1,1,04:00, ,3,0.2,82,28,8,102.74,,
2015-01-01 05:00,2015,1,1,05:00, ,2.5,0.1,84,28,8,102.71,,
2015-01-01 06:00,2015,1,1,06:00, ,2.2,-0.5,83,28,11,102.64,,
2015-01-01 07:00,2015,1,1,07:00, ,2.5,-0.2,83,28,10,102.63,,
2015-01-01 08:00,2015,1,1,08:00, ,2.6,-0.1,82,28,6,102.6,,
2015-01-01 09:00,2015,1,1,09:00, ,2.5,-0.7,79,28,10,102.64,,
2015-01-01 10:00,2015,1,1,10:00, ,2.9,-0.4,79,24,2,102.62,,
2015-01-01 11:00,2015,1,1,11:00, ,3.1,-0.2,79,32,4,102.6,,
2015-01-01 12:00,2015,1,1,12:00, ,3.2,0.1,80,12,5,102.54,,
2015-01-01 13:00,2015,1,1,13:00, ,3.4,0.3,80,13,5,102.48,,
2015-01-01 14:00,2015,1,1,14:00, ,3.4,-0.2,77,35,4,102.42,,
2015-01-01 15:00,2015,1,1,15:00, ,3.8,0.1,77,8,5,102.41,,
2015-01-01 16:00,2015,1,1,16:00, ,3.6,0,77,13,5,102.41,,
2015-01-01 17:00,2015,1,1,17:00, ,3.3,0,79,12,5,102.39,,
2015-01-01 18:00,2015,1,1,18:00, ,3.1,0.3,82,17,12,102.29,,
2015-01-01 19:00,2015,1,1,19:00, ,3,0.3,82,18,9,102.28,,
2015-01-01 20:00,2015,1,1,20:00, ,3.2,0.7,84,16,11,102.24,,
2015-01-01 21:00,2015,1,1,21:00, ,2.8,0.3,83,20,3,102.26,,
2015-01-01 22:00,2015,1,1,22:00, ,3,0.4,83,20,8,102.22,,
2015-01-01 23:00,2015,1,1,23:00, ,3.4,0.3,80,16,15,102.15,,
2015-01-02 00:00,2015,1,2,00:00, ,3.1,0.7,84,17,11,102.15,,
2015-01-02 01:00,2015,1,2,01:00, ,3.3,0.9,84,16,14,102.07,,
2015-01-02 02:00,2015,1,2,02:00, ,3.6,1,83,15,13,102.04,,
2015-01-02 03:00,2015,1,2,03:00, ,3.6,0.9,83,14,13,102.03,,
2015-01-02 04:00,2015,1,2,04:00, ,3.2,0.7,84,27,7,102.01,,
2015-01-02 05:00,2015,1,2,05:00, ,3.4,0.5,81,20,9,101.92,,
2015-01-02 06:00,2015,1,2,06:00, ,3.6,0.6,81,24,5,101.94,,
2015-01-02 07:00,2015,1,2,07:00, ,3.1,0.8,85,25,8,101.87,,
2015-01-02 08:00,2015,1,2,08:00, ,3.2,0.9,85,19,7,101.83,,
2015-01-02 09:00,2015,1,2,09:00, ,3.7,0.5,80,15,17,101.86,,
2015-01-02 10:00,2015,1,2,10:00, ,3.8,0.3,78,14,16,101.84,,
2015-01-02 11:00,2015,1,2,11:00, ,3.2,1.1,87,11,17,101.86,,
2015-01-02 12:00,2015,1,2,12:00, ,3.4,1.7,89,10,11,101.82,,
2015-01-02 13:00,2015,1,2,13:00, ,3.3,1.8,90,7,10,101.8,,
2015-01-02 14:00,2015,1,2,14:00, ,3.3,1.8,90,3,4,101.8,,
2015-01-02 15:00,2015,1,2,15:00, ,3.6,1.7,87,33,10,101.84,,
2015-01-02 16:00,2015,1,2,16:00, ,4.2,1.9,86,29,15,101.84,,
2015-01-02 17:00,2015,1,2,17:00, ,4.5,2,84,30,16,101.88,,
2015-01-02 18:00,2015,1,2,18:00, ,4.7,2,82,30,19,101.89,,
2015-01-02 19:00,2015,1,2,19:00, ,5.3,2.3,81,33,25,101.94,,
2015-01-02 20:00,2015,1,2,20:00, ,5.2,2.1,80,33,24,102,,
2015-01-02 21:00,2015,1,2,21:00, ,5.1,2.2,81,32,21,102.05,,
2015-01-02 22:00,2015,1,2,22:00, ,5.4,2.5,82,33,20,102.12,,
2015-01-02 23:00,2015,1,2,23:00, ,5.2,2.6,83,36,16,102.18,,
2015-01-03 00:00,2015,1,3,00:00, ,4.5,2,84,7,8,102.21,,
2015-01-03 01:00,2015,1,3,01:00, ,4.6,1.7,82,12,9,102.25,,
2015-01-03 02:00,2015,1,3,02:00, ,4.6,2.3,85,11,13,102.3,,
2015-01-03 03:00,2015,1,3,03:00, ,4.3,1.3,81,12,16,102.32,,
2015-01-03 04:00,2015,1,3,04:00, ,4.3,1.8,84,15,12,102.33,,
2015-01-03 05:00,2015,1,3,05:00, ,4.4,1.7,83,14,15,102.33,,
2015-01-03 06:00,2015,1,3,06:00, ,4.2,2,86,16,14,102.34,,
2015-01-03 07:00,2015,1,3,07:00, ,4.1,1.6,84,16,15,102.36,,
2015-01-03 08:00,2015,1,3,08:00, ,3.9,1.9,87,15,16,102.33,,
2015-01-03 09:00,2015,1,3,09:00, ,4.3,2.3,87,16,14,102.44,,
2015-01-03 10:00,2015,1,3,10:00, ,4.3,2.2,86,14,17,102.4,,
2015-01-03 11:00,2015,1,3,11:00, ,4.4,2.1,85,14,14,102.38,,
2015-01-03 12:00,2015,1,3,12:00, ,4.4,2.2,86,12,18,102.39,,
2015-01-03 13:00,2015,1,3,13:00, ,4.6,2,84,12,20,102.28,,
2015-01-03 14:00,2015,1,3,14:00, ,4.5,1.6,81,13,24,102.27,,
2015-01-03 15:00,2015,1,3,15:00, ,4.5,2,84,14,19,102.34,,
2015-01-03 16:00,2015,1,3,16:00, ,4.4,1.8,83,14,21,102.39,,
2015-01-03 17:00,2015,1,3,17:00, ,4.3,2.4,88,14,21,102.33,,
2015-01-03 18:00,2015,1,3,18:00, ,4.2,2,86,13,22,102.27,,
2015-01-03 19:00,2015,1,3,19:00, ,3.9,1.6,85,12,28,102.21,,
2015-01-03 20:00,2015,1,3,20:00, ,4.1,1.9,86,12,30,102.2,,
2015-01-03 21:00,2015,1,3,21:00, ,4.1,2.2,88,13,30,102.24,,
2015-01-03 22:00,2015,1,3,22:00, ,3.9,1.9,87,13,28,102.25,,
2015-01-03 23:00,2015,1,3,23:00, ,3.9,1.9,87,13,27,102.25,,
2015-01-04 00:00,2015,1,4,00:00, ,4,2.1,87,13,29,102.23,,
2015-01-04 01:00,2015,1,4,01:00, ,4.2,2,86,14,33,102.21,,
2015-01-04 02:00,2015,1,4,02:00, ,4.4,2.4,87,13,37,102.17,,
2015-01-04 03:00,2015,1,4,03:00, ,4.1,2.5,89,13,38,102.2,,
2015-01-04 04:00,2015,1,4,04:00, ,4.2,2.7,90,12,42,102.14,,
2015-01-04 05:00,2015,1,4,05:00, ,4.4,3,90,12,43,102.06,,
2015-01-04 06:00,2015,1,4,06:00, ,4.2,2.5,89,13,47,101.96,,
2015-01-04 07:00,2015,1,4,07:00, ,4.2,2.3,88,12,47,102.03,,
2015-01-04 08:00,2015,1,4,08:00, ,4,2.3,89,13,48,102.02,,
2015-01-04 09:00,2015,1,4,09:00, ,3.9,2.1,89,12,51,101.99,,
2015-01-04 10:00,2015,1,4,10:00, ,4.1,2.4,88,13,51,101.96,,
2015-01-04 11:00,2015,1,4,11:00, ,4.2,2.4,88,12,53,101.82,,
2015-01-04 12:00,2015,1,4,12:00, ,4.4,2.7,89,13,50,101.7,,
2015-01-04 13:00,2015,1,4,13:00, ,4.8,3,88,14,49,101.58,,
2015-01-04 14:00,2015,1,4,14:00, ,5.1,3.3,89,12,46,101.5,,
2015-01-04 15:00,2015,1,4,15:00, ,5.5,4,90,12,42,101.42,,
2015-01-04 16:00,2015,1,4,16:00, ,5.6,4.2,91,13,41,101.34,,
2015-01-04 17:00,2015,1,4,17:00, ,5.4,4.2,92,12,43,101.2,,
2015-01-04 18:00,2015,1,4,18:00, ,6.2,5,92,12,43,101.07,,
